Date : 2020-10-26 15:51:32
Directory : d:\vs project\DrugSystem-master-2.1\DrugSystem-master-2.1
Total : 122 files,  30531 codes, 534 comments, 1404 blanks, all 32469 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         70 |     15,010 |        254 |        907 |     16,171 |
| JSON       |          5 |     10,705 |          0 |          2 |     10,707 |
| JavaScript |         26 |      2,496 |         33 |        104 |      2,633 |
| Less       |          8 |      1,937 |        233 |        304 |      2,474 |
| SCSS       |          4 |        264 |          6 |          6 |        276 |
| XML        |          2 |         57 |          6 |         43 |        106 |
| Markdown   |          1 |         26 |          0 |         26 |         52 |
| CSS        |          5 |         21 |          0 |          9 |         30 |
| HTML       |          1 |         15 |          2 |          3 |         20 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        122 |     30,531 |        534 |      1,404 |     32,469 |
| src                                                                                                        |        114 |     19,678 |        529 |      1,370 |     21,577 |
| src\assets                                                                                                 |         21 |      2,719 |        245 |        365 |      3,329 |
| src\assets\css                                                                                             |          8 |      1,937 |        233 |        304 |      2,474 |
| src\assets\css\page                                                                                        |          3 |        438 |         23 |         31 |        492 |
| src\assets\font                                                                                            |          1 |         31 |          3 |         29 |         63 |
| src\assets\js                                                                                              |          2 |        440 |          0 |          3 |        443 |
| src\assets\styles                                                                                          |         10 |        311 |          9 |         29 |        349 |
| src\assets\styles\iconfont                                                                                 |          1 |         26 |          3 |         14 |         43 |
| src\components                                                                                             |         11 |        482 |          0 |         41 |        523 |
| src\components\disease                                                                                     |          1 |         75 |          0 |          9 |         84 |
| src\components\symptom                                                                                     |          6 |        243 |          0 |         18 |        261 |
| src\router                                                                                                 |          1 |        448 |          2 |         22 |        472 |
| src\store                                                                                                  |         14 |        564 |         15 |         44 |        623 |
| src\store\actions                                                                                          |          6 |        139 |          1 |         19 |        159 |
| src\store\modules                                                                                          |          5 |        340 |          4 |         15 |        359 |
